Record Index,Current,Voltage,Capacity,Temperature,Time
51,0.0,3.59,0.0,37.4,2019-11-15 19:29:29
52,0.0,3.59,0.0,37.3,2019-11-15 19:29:30
53,0.0,3.59,0.0,37.4,2019-11-15 19:29:31
54,0.0,3.59,0.0,37.4,2019-11-15 19:29:32
55,0.0,3.59,0.0,37.4,2019-11-15 19:29:33
56,0.0,3.59,0.0,37.4,2019-11-15 19:29:34
57,0.0,3.59,0.0,37.4,2019-11-15 19:29:35
58,0.0,3.59,0.0,37.4,2019-11-15 19:29:36
59,0.0,3.59,0.0,37.4,2019-11-15 19:29:37
60,0.0,3.59,0.0,37.4,2019-11-15 19:29:38
61,0.0,3.59,0.0,37.4,2019-11-15 19:29:39
62,0.0,3.59,0.0,37.4,2019-11-15 19:29:40
63,0.0,3.59,0.0,37.4,2019-11-15 19:29:41
64,0.0,3.59,0.0,37.4,2019-11-15 19:29:42
65,0.0,3.59,0.0,37.4,2019-11-15 19:29:43
66,0.0,3.59,0.0,37.4,2019-11-15 19:29:44
67,0.0,3.59,0.0,37.4,2019-11-15 19:29:45
68,0.0,3.59,0.0,37.4,2019-11-15 19:29:46
69,0.0,3.59,0.0,37.4,2019-11-15 19:29:47
70,0.0,3.59,0.0,37.4,2019-11-15 19:29:48
71,0.0,3.59,0.0,37.4,2019-11-15 19:29:49
72,0.0,3.59,0.0,37.4,2019-11-15 19:29:50
73,0.0,3.59,0.0,37.4,2019-11-15 19:29:51
74,0.0,3.59,0.0,37.4,2019-11-15 19:29:52
75,0.0,3.59,0.0,37.4,2019-11-15 19:29:53
76,0.0,3.59,0.0,37.4,2019-11-15 19:29:54
77,0.0,3.59,0.0,37.4,2019-11-15 19:29:55
78,0.0,3.59,0.0,37.4,2019-11-15 19:29:56
79,0.0,3.59,0.0,37.4,2019-11-15 19:29:57
80,0.0,3.59,0.0,37.4,2019-11-15 19:29:58
81,0.0,3.59,0.0,37.4,2019-11-15 19:29:59
82,0.0,3.59,0.0,37.4,2019-11-15 19:30:00
83,0.0,3.59,0.0,37.4,2019-11-15 19:30:01
84,0.0,3.59,0.0,37.4,2019-11-15 19:30:02
85,0.0,3.59,0.0,37.4,2019-11-15 19:30:03
86,0.0,3.59,0.0,37.4,2019-11-15 19:30:04
87,0.0,3.59,0.0,37.4,2019-11-15 19:30:05
88,0.0,3.59,0.0,37.4,2019-11-15 19:30:06
89,0.0,3.59,0.0,37.4,2019-11-15 19:30:07
90,0.0,3.59,0.0,37.4,2019-11-15 19:30:08
91,0.0,3.59,0.0,37.4,2019-11-15 19:30:09
92,0.0,3.59,0.0,37.4,2019-11-15 19:30:10
93,0.0,3.59,0.0,37.4,2019-11-15 19:30:11
94,0.0,3.59,0.0,37.4,2019-11-15 19:30:12
95,0.0,3.59,0.0,37.4,2019-11-15 19:30:13
96,0.0,3.59,0.0,37.4,2019-11-15 19:30:14
97,0.0,3.59,0.0,37.4,2019-11-15 19:30:15
98,0.0,3.59,0.0,37.4,2019-11-15 19:30:16
99,0.0,3.5897,0.0,37.4,2019-11-15 19:30:17
100,0.0,3.59,0.0,37.4,2019-11-15 19:30:18
101,0.0,3.59,0.0,37.4,2019-11-15 19:30:19
102,0.0,3.59,0.0,37.4,2019-11-15 19:30:20
103,0.0,3.5897,0.0,37.4,2019-11-15 19:30:21
104,0.0,3.59,0.0,37.4,2019-11-15 19:30:22
105,0.0,3.59,0.0,37.4,2019-11-15 19:30:23
106,0.0,3.59,0.0,37.4,2019-11-15 19:30:24
107,0.0,3.59,0.0,37.4,2019-11-15 19:30:25
108,0.0,3.59,0.0,37.4,2019-11-15 19:30:26
109,0.0,3.59,0.0,37.4,2019-11-15 19:30:27
110,0.0,3.59,0.0,37.4,2019-11-15 19:30:28
111,0.0,3.59,0.0,37.4,2019-11-15 19:30:29
112,0.0,3.59,0.0,37.4,2019-11-15 19:30:30
113,0.0,3.59,0.0,37.4,2019-11-15 19:30:31
114,0.0,3.59,0.0,37.4,2019-11-15 19:30:32
115,0.0,3.59,0.0,37.4,2019-11-15 19:30:33
116,0.0,3.59,0.0,37.4,2019-11-15 19:30:34
117,0.0,3.59,0.0,37.4,2019-11-15 19:30:35
118,0.0,3.59,0.0,37.4,2019-11-15 19:30:36
119,0.0,3.59,0.0,37.4,2019-11-15 19:30:37
120,0.0,3.59,0.0,37.4,2019-11-15 19:30:38
121,0.0,3.59,0.0,37.4,2019-11-15 19:30:39
122,0.0,3.59,0.0,37.4,2019-11-15 19:30:40
123,0.0,3.59,0.0,37.4,2019-11-15 19:30:41
124,0.0,3.59,0.0,37.4,2019-11-15 19:30:42
125,0.0,3.59,0.0,37.4,2019-11-15 19:30:43
126,0.0,3.59,0.0,37.4,2019-11-15 19:30:44
127,0.0,3.59,0.0,37.4,2019-11-15 19:30:45
128,0.0,3.59,0.0,37.4,2019-11-15 19:30:46
129,0.0,3.59,0.0,37.4,2019-11-15 19:30:47
130,0.0,3.59,0.0,37.4,2019-11-15 19:30:48
131,0.0,3.59,0.0,37.4,2019-11-15 19:30:49
132,0.0,3.59,0.0,37.4,2019-11-15 19:30:50
133,0.0,3.59,0.0,37.4,2019-11-15 19:30:51
134,0.0,3.59,0.0,37.4,2019-11-15 19:30:52
135,0.0,3.59,0.0,37.4,2019-11-15 19:30:53
136,0.0,3.59,0.0,37.4,2019-11-15 19:30:54
137,0.0,3.59,0.0,37.4,2019-11-15 19:30:55
138,0.0,3.59,0.0,37.4,2019-11-15 19:30:56
139,0.0,3.59,0.0,37.4,2019-11-15 19:30:57
140,0.0,3.59,0.0,37.4,2019-11-15 19:30:58
141,0.0,3.59,0.0,37.4,2019-11-15 19:30:59
142,0.0,3.59,0.0,37.4,2019-11-15 19:31:00
143,0.0,3.59,0.0,37.4,2019-11-15 19:31:01
144,0.0,3.59,0.0,37.4,2019-11-15 19:31:02
145,0.0,3.59,0.0,37.4,2019-11-15 19:31:03
146,0.0,3.59,0.0,37.4,2019-11-15 19:31:04
147,0.0,3.59,0.0,37.4,2019-11-15 19:31:05
148,0.0,3.59,0.0,37.4,2019-11-15 19:31:06
149,0.0,3.59,0.0,37.4,2019-11-15 19:31:07
150,0.0,3.59,0.0,37.4,2019-11-15 19:31:08
151,0.0,3.59,0.0,37.4,2019-11-15 19:31:09
152,0.0,3.59,0.0,37.4,2019-11-15 19:31:10
153,0.0,3.59,0.0,37.4,2019-11-15 19:31:11
154,0.0,3.59,0.0,37.4,2019-11-15 19:31:12
155,0.0,3.59,0.0,37.4,2019-11-15 19:31:13
156,0.0,3.59,0.0,37.4,2019-11-15 19:31:14
157,0.0,3.59,0.0,37.4,2019-11-15 19:31:15
158,0.0,3.59,0.0,37.4,2019-11-15 19:31:16
159,0.0,3.59,0.0,37.4,2019-11-15 19:31:17
160,0.0,3.59,0.0,37.4,2019-11-15 19:31:18
161,0.0,3.59,0.0,37.4,2019-11-15 19:31:19
162,0.0,3.59,0.0,37.4,2019-11-15 19:31:20
163,0.0,3.59,0.0,37.4,2019-11-15 19:31:21
164,0.0,3.59,0.0,37.4,2019-11-15 19:31:22
165,0.0,3.59,0.0,37.4,2019-11-15 19:31:23
166,0.0,3.59,0.0,37.4,2019-11-15 19:31:24
167,0.0,3.59,0.0,37.4,2019-11-15 19:31:25
168,0.0,3.59,0.0,37.4,2019-11-15 19:31:26
169,0.0,3.59,0.0,37.4,2019-11-15 19:31:27
170,0.0,3.59,0.0,37.4,2019-11-15 19:31:28
171,0.0,3.59,0.0,37.4,2019-11-15 19:31:29
172,0.0,3.59,0.0,37.4,2019-11-15 19:31:30
173,0.0,3.59,0.0,37.4,2019-11-15 19:31:31
174,0.0,3.59,0.0,37.4,2019-11-15 19:31:32
175,0.0,3.59,0.0,37.4,2019-11-15 19:31:33
176,0.0,3.59,0.0,37.4,2019-11-15 19:31:34
177,0.0,3.59,0.0,37.4,2019-11-15 19:31:35
178,0.0,3.59,0.0,37.4,2019-11-15 19:31:36
179,0.0,3.59,0.0,37.4,2019-11-15 19:31:37
180,0.0,3.59,0.0,37.4,2019-11-15 19:31:38
181,0.0,3.59,0.0,37.4,2019-11-15 19:31:39
182,0.0,3.59,0.0,37.4,2019-11-15 19:31:40
183,0.0,3.59,0.0,37.4,2019-11-15 19:31:41
184,0.0,3.59,0.0,37.4,2019-11-15 19:31:42
185,0.0,3.59,0.0,37.4,2019-11-15 19:31:43
186,0.0,3.59,0.0,37.4,2019-11-15 19:31:44
187,0.0,3.59,0.0,37.4,2019-11-15 19:31:45
188,0.0,3.59,0.0,37.4,2019-11-15 19:31:46
189,0.0,3.59,0.0,37.4,2019-11-15 19:31:47
190,0.0,3.59,0.0,37.4,2019-11-15 19:31:48
191,0.0,3.59,0.0,37.3,2019-11-15 19:31:49
192,0.0,3.59,0.0,37.4,2019-11-15 19:31:50
193,0.0,3.59,0.0,37.4,2019-11-15 19:31:51
194,0.0,3.59,0.0,37.3,2019-11-15 19:31:52
195,0.0,3.59,0.0,37.4,2019-11-15 19:31:53
196,0.0,3.59,0.0,37.4,2019-11-15 19:31:54
197,0.0,3.59,0.0,37.4,2019-11-15 19:31:55
198,0.0,3.59,0.0,37.3,2019-11-15 19:31:56
199,0.0,3.59,0.0,37.4,2019-11-15 19:31:57
200,0.0,3.59,0.0,37.3,2019-11-15 19:31:58
201,0.0,3.59,0.0,37.3,2019-11-15 19:31:59
202,0.0,3.59,0.0,37.3,2019-11-15 19:32:00
203,0.0,3.59,0.0,37.3,2019-11-15 19:32:01
204,0.0,3.59,0.0,37.3,2019-11-15 19:32:02
205,0.0,3.59,0.0,37.3,2019-11-15 19:32:03
206,0.0,3.59,0.0,37.3,2019-11-15 19:32:04
207,0.0,3.59,0.0,37.3,2019-11-15 19:32:05
208,0.0,3.59,0.0,37.3,2019-11-15 19:32:06
209,0.0,3.59,0.0,37.3,2019-11-15 19:32:07
210,0.0,3.59,0.0,37.3,2019-11-15 19:32:08
211,0.0,3.59,0.0,37.3,2019-11-15 19:32:09
212,0.0,3.59,0.0,37.3,2019-11-15 19:32:10
213,0.0,3.59,0.0,37.3,2019-11-15 19:32:11
214,0.0,3.59,0.0,37.3,2019-11-15 19:32:12
215,0.0,3.59,0.0,37.3,2019-11-15 19:32:13
216,0.0,3.59,0.0,37.3,2019-11-15 19:32:14
217,0.0,3.59,0.0,37.3,2019-11-15 19:32:15
218,0.0,3.59,0.0,37.3,2019-11-15 19:32:16
219,0.0,3.59,0.0,37.3,2019-11-15 19:32:17
220,0.0,3.59,0.0,37.2,2019-11-15 19:32:18
221,0.0,3.59,0.0,37.3,2019-11-15 19:32:19
222,0.0,3.59,0.0,37.2,2019-11-15 19:32:20
223,0.0,3.59,0.0,37.2,2019-11-15 19:32:21
224,0.0,3.59,0.0,37.2,2019-11-15 19:32:22
225,0.0,3.59,0.0,37.2,2019-11-15 19:32:23
226,0.0,3.59,0.0,37.2,2019-11-15 19:32:24
227,0.0,3.59,0.0,37.2,2019-11-15 19:32:25
228,0.0,3.59,0.0,37.2,2019-11-15 19:32:26
229,0.0,3.59,0.0,37.2,2019-11-15 19:32:27
230,0.0,3.59,0.0,37.1,2019-11-15 19:32:28
231,0.0,3.59,0.0,37.2,2019-11-15 19:32:29
232,0.0,3.59,0.0,37.2,2019-11-15 19:32:30
233,0.0,3.59,0.0,37.1,2019-11-15 19:32:31
234,0.0,3.59,0.0,37.1,2019-11-15 19:32:32
235,0.0,3.59,0.0,37.1,2019-11-15 19:32:33
236,0.0,3.59,0.0,37.1,2019-11-15 19:32:34
237,0.0,3.59,0.0,37.1,2019-11-15 19:32:35
238,0.0,3.59,0.0,37.1,2019-11-15 19:32:36
239,0.0,3.59,0.0,37.1,2019-11-15 19:32:37
240,0.0,3.59,0.0,37.1,2019-11-15 19:32:38
241,0.0,3.59,0.0,37.1,2019-11-15 19:32:39
242,0.0,3.59,0.0,37.1,2019-11-15 19:32:40
243,0.0,3.59,0.0,37.0,2019-11-15 19:32:41
244,0.0,3.59,0.0,37.1,2019-11-15 19:32:42
245,0.0,3.59,0.0,37.0,2019-11-15 19:32:43
246,0.0,3.59,0.0,37.0,2019-11-15 19:32:44
247,0.0,3.59,0.0,37.0,2019-11-15 19:32:45
248,0.0,3.59,0.0,37.0,2019-11-15 19:32:46
249,0.0,3.59,0.0,37.0,2019-11-15 19:32:47
250,0.0,3.59,0.0,37.0,2019-11-15 19:32:48
251,0.0,3.59,0.0,37.0,2019-11-15 19:32:49
252,0.0,3.59,0.0,37.0,2019-11-15 19:32:50
253,0.0,3.59,0.0,36.9,2019-11-15 19:32:51
254,0.0,3.59,0.0,37.0,2019-11-15 19:32:52
255,0.0,3.59,0.0,36.9,2019-11-15 19:32:53
256,0.0,3.59,0.0,36.9,2019-11-15 19:32:54
257,0.0,3.59,0.0,36.9,2019-11-15 19:32:55
258,0.0,3.59,0.0,36.9,2019-11-15 19:32:56
259,0.0,3.59,0.0,36.9,2019-11-15 19:32:57
260,0.0,3.59,0.0,36.9,2019-11-15 19:32:58
261,0.0,3.59,0.0,36.9,2019-11-15 19:32:59
262,0.0,3.59,0.0,36.8,2019-11-15 19:33:00
263,0.0,3.59,0.0,36.8,2019-11-15 19:33:01
264,0.0,3.59,0.0,36.8,2019-11-15 19:33:02
265,0.0,3.59,0.0,36.8,2019-11-15 19:33:03
266,0.0,3.59,0.0,36.8,2019-11-15 19:33:04
267,0.0,3.59,0.0,36.8,2019-11-15 19:33:05
268,0.0,3.59,0.0,36.8,2019-11-15 19:33:06
269,0.0,3.59,0.0,36.8,2019-11-15 19:33:07
270,0.0,3.59,0.0,36.7,2019-11-15 19:33:08
271,0.0,3.59,0.0,36.7,2019-11-15 19:33:09
272,0.0,3.59,0.0,36.7,2019-11-15 19:33:10
273,0.0,3.59,0.0,36.7,2019-11-15 19:33:11
274,0.0,3.59,0.0,36.7,2019-11-15 19:33:12
275,0.0,3.5897,0.0,36.7,2019-11-15 19:33:13
276,0.0,3.5897,0.0,36.6,2019-11-15 19:33:14
277,0.0,3.59,0.0,36.7,2019-11-15 19:33:15
278,0.0,3.59,0.0,36.6,2019-11-15 19:33:16
279,0.0,3.59,0.0,36.6,2019-11-15 19:33:17
280,0.0,3.59,0.0,36.6,2019-11-15 19:33:18
281,0.0,3.59,0.0,36.6,2019-11-15 19:33:19
282,0.0,3.59,0.0,36.6,2019-11-15 19:33:20
283,0.0,3.59,0.0,36.6,2019-11-15 19:33:21
284,0.0,3.59,0.0,36.5,2019-11-15 19:33:22
285,0.0,3.59,0.0,36.5,2019-11-15 19:33:23
286,0.0,3.59,0.0,36.5,2019-11-15 19:33:24
287,0.0,3.59,0.0,36.5,2019-11-15 19:33:25
288,0.0,3.59,0.0,36.5,2019-11-15 19:33:26
289,0.0,3.59,0.0,36.5,2019-11-15 19:33:27
290,0.0,3.59,0.0,36.5,2019-11-15 19:33:28
291,0.0,3.59,0.0,36.5,2019-11-15 19:33:29
292,0.0,3.59,0.0,36.4,2019-11-15 19:33:30
293,0.0,3.59,0.0,36.4,2019-11-15 19:33:31
294,0.0,3.59,0.0,36.4,2019-11-15 19:33:32
295,0.0,3.59,0.0,36.3,2019-11-15 19:33:33
296,0.0,3.59,0.0,36.3,2019-11-15 19:33:34
297,0.0,3.59,0.0,36.3,2019-11-15 19:33:35
298,0.0,3.59,0.0,36.3,2019-11-15 19:33:36
299,0.0,3.59,0.0,36.3,2019-11-15 19:33:37
300,0.0,3.59,0.0,36.3,2019-11-15 19:33:38
301,0.0,3.59,0.0,36.2,2019-11-15 19:33:39
302,0.0,3.59,0.0,36.2,2019-11-15 19:33:40
303,0.0,3.59,0.0,36.2,2019-11-15 19:33:41
304,0.0,3.59,0.0,36.2,2019-11-15 19:33:42
305,0.0,3.59,0.0,36.2,2019-11-15 19:33:43
306,0.0,3.5897,0.0,36.2,2019-11-15 19:33:44
307,0.0,3.59,0.0,36.2,2019-11-15 19:33:45
308,0.0,3.59,0.0,36.1,2019-11-15 19:33:46
309,0.0,3.5897,0.0,36.1,2019-11-15 19:33:47
310,0.0,3.59,0.0,36.1,2019-11-15 19:33:48
311,0.0,3.59,0.0,36.1,2019-11-15 19:33:49
312,0.0,3.59,0.0,36.1,2019-11-15 19:33:50
313,0.0,3.59,0.0,36.1,2019-11-15 19:33:51
314,0.0,3.59,0.0,36.0,2019-11-15 19:33:52
315,0.0,3.59,0.0,36.0,2019-11-15 19:33:53
316,0.0,3.5897,0.0,36.0,2019-11-15 19:33:54
317,0.0,3.59,0.0,36.0,2019-11-15 19:33:55
318,0.0,3.59,0.0,35.9,2019-11-15 19:33:56
319,0.0,3.59,0.0,36.0,2019-11-15 19:33:57
320,0.0,3.59,0.0,35.9,2019-11-15 19:33:58
321,0.0,3.59,0.0,35.9,2019-11-15 19:33:59
322,0.0,3.59,0.0,35.9,2019-11-15 19:34:00
323,0.0,3.59,0.0,35.9,2019-11-15 19:34:01
324,0.0,3.59,0.0,35.8,2019-11-15 19:34:02
325,0.0,3.59,0.0,35.8,2019-11-15 19:34:03
326,0.0,3.5897,0.0,35.8,2019-11-15 19:34:04
327,0.0,3.59,0.0,35.8,2019-11-15 19:34:05
328,0.0,3.59,0.0,35.7,2019-11-15 19:34:06
329,0.0,3.59,0.0,35.8,2019-11-15 19:34:07
330,0.0,3.59,0.0,35.7,2019-11-15 19:34:08
331,0.0,3.5897,0.0,35.7,2019-11-15 19:34:09
332,0.0,3.59,0.0,35.7,2019-11-15 19:34:10
333,0.0,3.5897,0.0,35.7,2019-11-15 19:34:11
334,0.0,3.5897,0.0,35.6,2019-11-15 19:34:12
335,0.0,3.59,0.0,35.6,2019-11-15 19:34:13
336,0.0,3.59,0.0,35.6,2019-11-15 19:34:14
337,0.0,3.59,0.0,35.6,2019-11-15 19:34:15
338,0.0,3.59,0.0,35.5,2019-11-15 19:34:16
339,0.0,3.5897,0.0,35.6,2019-11-15 19:34:17
340,0.0,3.59,0.0,35.5,2019-11-15 19:34:18
341,0.0,3.59,0.0,35.5,2019-11-15 19:34:19
342,0.0,3.5897,0.0,35.5,2019-11-15 19:34:20
343,0.0,3.59,0.0,35.5,2019-11-15 19:34:21
344,0.0,3.59,0.0,35.4,2019-11-15 19:34:22
345,0.0,3.5897,0.0,35.4,2019-11-15 19:34:23
346,0.0,3.59,0.0,35.4,2019-11-15 19:34:24
347,0.0,3.59,0.0,35.4,2019-11-15 19:34:25
348,0.0,3.59,0.0,35.3,2019-11-15 19:34:26
349,0.0,3.59,0.0,35.4,2019-11-15 19:34:27
350,0.0,3.59,0.0,35.3,2019-11-15 19:34:28
351,0.0,3.59,0.0,35.3,2019-11-15 19:34:29
352,0.0,3.59,0.0,35.3,2019-11-15 19:34:30
353,0.0,3.59,0.0,35.3,2019-11-15 19:34:31
354,0.0,3.5897,0.0,35.2,2019-11-15 19:34:32
355,0.0,3.59,0.0,35.2,2019-11-15 19:34:33
356,0.0,3.5897,0.0,35.2,2019-11-15 19:34:34
357,0.0,3.5897,0.0,35.2,2019-11-15 19:34:35
358,0.0,3.5897,0.0,35.1,2019-11-15 19:34:36
359,0.0,3.59,0.0,35.1,2019-11-15 19:34:37
360,0.0,3.59,0.0,35.1,2019-11-15 19:34:38
361,0.0,3.59,0.0,35.1,2019-11-15 19:34:39
362,0.0,3.59,0.0,35.1,2019-11-15 19:34:40
363,0.0,3.5897,0.0,35.1,2019-11-15 19:34:41
364,0.0,3.59,0.0,35.0,2019-11-15 19:34:42
365,0.0,3.59,0.0,35.0,2019-11-15 19:34:43
366,0.0,3.5897,0.0,35.0,2019-11-15 19:34:44
367,0.0,3.59,0.0,35.0,2019-11-15 19:34:45
368,0.0,3.59,0.0,34.9,2019-11-15 19:34:46
369,0.0,3.59,0.0,34.9,2019-11-15 19:34:47
370,0.0,3.59,0.0,34.9,2019-11-15 19:34:48
371,0.0,3.5897,0.0,34.9,2019-11-15 19:34:49
372,0.0,3.59,0.0,34.8,2019-11-15 19:34:50
373,0.0,3.5897,0.0,34.9,2019-11-15 19:34:51
374,0.0,3.59,0.0,34.8,2019-11-15 19:34:52
375,0.0,3.59,0.0,34.8,2019-11-15 19:34:53
376,0.0,3.5897,0.0,34.8,2019-11-15 19:34:54
377,0.0,3.59,0.0,34.8,2019-11-15 19:34:55
378,0.0,3.59,0.0,34.7,2019-11-15 19:34:56
379,0.0,3.59,0.0,34.7,2019-11-15 19:34:57
380,0.0,3.5897,0.0,34.7,2019-11-15 19:34:58
381,0.0,3.5897,0.0,34.7,2019-11-15 19:34:59
382,0.0,3.59,0.0,34.6,2019-11-15 19:35:00
383,0.0,3.59,0.0,34.6,2019-11-15 19:35:01
384,0.0,3.5897,0.0,34.6,2019-11-15 19:35:02
385,0.0,3.59,0.0,34.6,2019-11-15 19:35:03
386,0.0,3.5897,0.0,34.6,2019-11-15 19:35:04
387,0.0,3.5897,0.0,34.6,2019-11-15 19:35:05
388,0.0,3.59,0.0,34.5,2019-11-15 19:35:06
389,0.0,3.5897,0.0,34.5,2019-11-15 19:35:07
390,0.0,3.59,0.0,34.5,2019-11-15 19:35:08
391,0.0,3.59,0.0,34.5,2019-11-15 19:35:09
392,0.0,3.59,0.0,34.4,2019-11-15 19:35:10
393,0.0,3.59,0.0,34.4,2019-11-15 19:35:11
394,0.0,3.59,0.0,34.4,2019-11-15 19:35:12
395,0.0,3.59,0.0,34.4,2019-11-15 19:35:13
396,0.0,3.5897,0.0,34.3,2019-11-15 19:35:14
397,0.0,3.5897,0.0,34.3,2019-11-15 19:35:15
398,0.0,3.5897,0.0,34.3,2019-11-15 19:35:16
399,0.0,3.59,0.0,34.3,2019-11-15 19:35:17
400,0.0,3.59,0.0,34.2,2019-11-15 19:35:18
401,0.0,3.59,0.0,34.3,2019-11-15 19:35:19
402,0.0,3.59,0.0,34.2,2019-11-15 19:35:20
403,0.0,3.5897,0.0,34.2,2019-11-15 19:35:21
404,0.0,3.5897,0.0,34.2,2019-11-15 19:35:22
405,0.0,3.5897,0.0,34.2,2019-11-15 19:35:23
406,0.0,3.5897,0.0,34.1,2019-11-15 19:35:24
407,0.0,3.59,0.0,34.1,2019-11-15 19:35:25
408,0.0,3.5897,0.0,34.1,2019-11-15 19:35:26
409,0.0,3.5897,0.0,34.1,2019-11-15 19:35:27
410,0.0,3.5897,0.0,34.1,2019-11-15 19:35:28
411,0.0,3.5897,0.0,34.1,2019-11-15 19:35:29
412,0.0,3.59,0.0,34.0,2019-11-15 19:35:30
413,0.0,3.59,0.0,34.0,2019-11-15 19:35:31
414,0.0,3.5897,0.0,34.0,2019-11-15 19:35:32
415,0.0,3.59,0.0,34.0,2019-11-15 19:35:33
416,0.0,3.5897,0.0,33.9,2019-11-15 19:35:34
417,0.0,3.59,0.0,34.0,2019-11-15 19:35:35
418,0.0,3.5897,0.0,33.9,2019-11-15 19:35:36
419,0.0,3.5897,0.0,33.9,2019-11-15 19:35:37
420,0.0,3.5897,0.0,33.9,2019-11-15 19:35:38
421,0.0,3.5897,0.0,33.9,2019-11-15 19:35:39
422,0.0,3.59,0.0,33.8,2019-11-15 19:35:40
423,0.0,3.5897,0.0,33.8,2019-11-15 19:35:41
424,0.0,3.5897,0.0,33.8,2019-11-15 19:35:42
425,0.0,3.5897,0.0,33.8,2019-11-15 19:35:43
426,0.0,3.5897,0.0,33.8,2019-11-15 19:35:44
427,0.0,3.5897,0.0,33.8,2019-11-15 19:35:45
428,0.0,3.5897,0.0,33.7,2019-11-15 19:35:46
429,0.0,3.5897,0.0,33.7,2019-11-15 19:35:47
430,0.0,3.5897,0.0,33.7,2019-11-15 19:35:48
431,0.0,3.5897,0.0,33.7,2019-11-15 19:35:49
432,0.0,3.5897,0.0,33.6,2019-11-15 19:35:50
433,0.0,3.5897,0.0,33.6,2019-11-15 19:35:51
434,0.0,3.59,0.0,33.6,2019-11-15 19:35:52
435,0.0,3.5897,0.0,33.6,2019-11-15 19:35:53
436,0.0,3.5897,0.0,33.6,2019-11-15 19:35:54
437,0.0,3.5897,0.0,33.6,2019-11-15 19:35:55
438,0.0,3.5897,0.0,33.5,2019-11-15 19:35:56
439,0.0,3.5897,0.0,33.5,2019-11-15 19:35:57
440,0.0,3.5897,0.0,33.5,2019-11-15 19:35:58
441,0.0,3.5897,0.0,33.5,2019-11-15 19:35:59
442,0.0,3.5897,0.0,33.4,2019-11-15 19:36:00
443,0.0,3.5897,0.0,33.4,2019-11-15 19:36:01
444,0.0,3.5897,0.0,33.4,2019-11-15 19:36:02
445,0.0,3.5897,0.0,33.4,2019-11-15 19:36:03
446,0.0,3.5897,0.0,33.4,2019-11-15 19:36:04
447,0.0,3.5897,0.0,33.4,2019-11-15 19:36:05
