Record Index,Current,Voltage,Capacity,Temperature,Time
1,0.0,3.59,0.0,37.4,2019-11-15 19:28:43
2,0.0,3.59,0.0,37.4,2019-11-15 19:28:44
3,0.0,3.59,0.0,37.4,2019-11-15 19:28:45
4,0.0,3.59,0.0,37.4,2019-11-15 19:28:46
5,0.0,3.59,0.0,37.3,2019-11-15 19:28:47
6,0.0,3.59,0.0,37.4,2019-11-15 19:28:48
7,-900.6,3.5627,0.0,37.4,2019-11-15 19:28:49
8,-900.6,3.5627,0.025,37.4,2019-11-15 19:28:49
9,0.0,3.5894,0.0,37.4,2019-11-15 19:28:49
10,0.0,3.5894,0.0,37.4,2019-11-15 19:28:49
11,0.0,3.5897,0.0,37.4,2019-11-15 19:28:49
12,0.0,3.5897,0.0,37.4,2019-11-15 19:28:50
13,0.0,3.5897,0.0,37.4,2019-11-15 19:28:51
14,0.0,3.59,0.0,37.4,2019-11-15 19:28:52
15,0.0,3.5897,0.0,37.4,2019-11-15 19:28:53
16,0.0,3.59,0.0,37.4,2019-11-15 19:28:54
17,0.0,3.59,0.0,37.4,2019-11-15 19:28:55
18,0.0,3.5897,0.0,37.4,2019-11-15 19:28:56
19,0.0,3.5897,0.0,37.4,2019-11-15 19:28:57
20,0.0,3.59,0.0,37.4,2019-11-15 19:28:58
21,0.0,3.59,0.0,37.4,2019-11-15 19:28:59
22,0.0,3.59,0.0,37.4,2019-11-15 19:29:00
23,0.0,3.5897,0.0,37.4,2019-11-15 19:29:01
24,0.0,3.59,0.0,37.4,2019-11-15 19:29:02
25,0.0,3.59,0.0,37.4,2019-11-15 19:29:03
26,0.0,3.59,0.0,37.4,2019-11-15 19:29:04
27,0.0,3.5897,0.0,37.4,2019-11-15 19:29:05
28,0.0,3.59,0.0,37.4,2019-11-15 19:29:06
29,0.0,3.59,0.0,37.4,2019-11-15 19:29:07
30,0.0,3.5897,0.0,37.4,2019-11-15 19:29:08
31,0.0,3.59,0.0,37.4,2019-11-15 19:29:09
32,0.0,3.59,0.0,37.4,2019-11-15 19:29:10
33,0.0,3.59,0.0,37.4,2019-11-15 19:29:11
34,0.0,3.59,0.0,37.4,2019-11-15 19:29:12
35,0.0,3.59,0.0,37.4,2019-11-15 19:29:13
36,0.0,3.59,0.0,37.4,2019-11-15 19:29:14
37,0.0,3.59,0.0,37.4,2019-11-15 19:29:15
38,0.0,3.59,0.0,37.4,2019-11-15 19:29:16
39,0.0,3.59,0.0,37.4,2019-11-15 19:29:17
40,0.0,3.59,0.0,37.4,2019-11-15 19:29:18
41,0.0,3.59,0.0,37.4,2019-11-15 19:29:19
42,0.0,3.59,0.0,37.4,2019-11-15 19:29:20
43,0.0,3.59,0.0,37.4,2019-11-15 19:29:21
44,0.0,3.59,0.0,37.4,2019-11-15 19:29:22
45,0.0,3.59,0.0,37.4,2019-11-15 19:29:23
46,0.0,3.59,0.0,37.4,2019-11-15 19:29:24
47,0.0,3.59,0.0,37.4,2019-11-15 19:29:25
48,0.0,3.59,0.0,37.4,2019-11-15 19:29:26
49,0.0,3.59,0.0,37.4,2019-11-15 19:29:27
50,0.0,3.59,0.0,37.4,2019-11-15 19:29:28
